source,paper_idx,paper_id,raw_score,calibrated_score,target,abs_error,gt_binary,label,slope,intercept
ai,0,4VW9HVCRw0,7.0,4.365179730148348,7.0,2.6348202698516516,Accept,1,0.04087485270986963,4.079055761179261
ai,1,41JeFWdVFa,5.0,4.289008491176722,4.67,0.3809915088232776,Reject,0,0.04127897052093805,4.082613638572032
ai,2,MwuSvrthXq,6.0,4.332096513268743,4.0,0.332096513268743,Reject,0,0.04129052669992637,4.084353353069185
ai,3,ppXAVexrAM,5.5,4.3113957007714525,4.0,0.3113957007714525,Reject,0,0.04127566538367395,4.084379541161246
ai,4,40sQXprYlm,5.0,4.288170788365124,5.0,0.7118292116348757,Reject,0,0.04128703021016162,4.081735637314316
ai,5,KAZpuq2W4Y,5.5,4.314768441935553,2.67,1.644768441935553,Reject,0,0.041301255754104496,4.087611535287978
ai,6,OPFE1zPYbU,3.5,4.237136330537197,1.0,3.237136330537197,Reject,0,0.04076786014587887,4.094448820026621
ai,7,m7gNW26Zih,4.5,4.28037401976642,0.0,4.28037401976642,Reject,0,0.040978986857533525,4.095968578907519
ai,8,zwfpyw345l,3.5,4.2385408355689975,0.5,3.7385408355689975,Reject,0,0.040690131181620855,4.096125376433324
ai,9,aiM6bRd6bG,5.5,4.3113957007714525,4.0,0.3113957007714525,Reject,0,0.04127566538367411,4.084379541161245
ai,10,t5Nd4HiI3E,-100.0,-122.37975127903444,4.0,126.37975127903444,Reject,0,1.2002518965290527,-2.3545616261291724
ai,11,WhO6Km5Rku,4.5,4.270034546372027,4.0,0.2700345463720266,Reject,0,0.041251349580725176,4.084403473258764
ai,12,0K4jNe8ik9,4.5,4.277789151417823,1.0,3.2777891514178226,Reject,0,0.041047077538331464,4.093077302495331
ai,13,9wIVIjWn0F,6.5,4.348821372211125,5.5,1.151178627788875,Reject,0,0.041147319241373465,4.081363797142197
ai,14,MQmrcX5jnk,6.5,4.347490351951981,6.0,1.652509648048019,Accept,1,0.0410940279793734,4.080379170086054
ai,15,6Y9NP1qhoM,5.5,4.308859805159347,5.0,0.6911401948406528,Accept,1,0.041256424503651315,4.081949470389265
ai,16,GFWfR4G5fm,5.5,4.310127752965401,4.5,0.18987224703459926,Reject,0,0.041266044943662754,4.0831645057752555
ai,17,omg9K6lI93,3.0,4.21701388602957,1.0,3.2170138860295703,Reject,0,0.04063086681619343,4.09512128558099
ai,18,LD6B7AvkZq,4.5,4.272619414720626,3.0,1.2726194147206256,Reject,0,0.0411832588999274,4.087294749670952
ai,19,cu6xWUNOzQ,5.5,4.304624859487128,6.67,2.365375140512872,Reject,0,0.041224292234013575,4.077891252200054
ai,20,nHrYBGujps,5.5,4.30252006612908,7.5,3.1974799338709197,Accept,1,0.04120832230359489,4.075874293459308
ai,21,Rd0yhdfueL,4.5,4.2777891514178235,1.0,3.2777891514178235,Reject,0,0.04104707753833122,4.093077302495333
ai,22,RNsydf7HB4,5.0,4.294517021786327,2.5,1.7945170217863273,Reject,0,0.041225971958467035,4.088387161993992
ai,23,IU4rqTlpRb,6.0,4.328669004318265,5.33,1.0013309956817347,Accept,1,0.04120685961688039,4.081427846616983
ai,24,IdJakw2jta,5.5,4.310127752965401,4.5,0.18987224703459926,Reject,0,0.041266044943662754,4.0831645057752555
ai,25,NfO2Lt2WY7,5.5,4.316467491995664,2.0,2.316467491995664,Reject,0,0.04131414714371983,4.089239682705205
ai,26,4hkMvkzai5,5.5,4.3144387755059785,2.8,1.5144387755059787,Reject,0,0.041298754439701615,4.08729562608762
ai,27,W42oLSwI9p,5.5,4.308859805159347,5.0,0.6911401948406528,Reject,0,0.041256424503651315,4.081949470389265
ai,28,0cbUKCyBsH,5.5,4.312663648577505,3.5,0.8126636485775052,Reject,0,0.04128528582368542,4.085594576547235
ai,29,khBHJz2wcV,6.0,4.334673587667601,3.0,1.3346735876676012,Accept,1,0.041353434281163594,4.08655298198062
ai,30,gTMzRm8fb0,6.5,4.350152392470268,5.0,0.6498476075297317,Accept,1,0.04120061050337372,4.082348424198339
ai,31,rajioNWfRs,6.0,4.325215724623797,6.67,2.3447842753762025,Accept,1,0.04112256345802265,4.078480343875661
ai,32,DZUehXNiBn,6.0,4.332096513268742,4.0,0.3320965132687421,Reject,0,0.041290526699926555,4.084353353069183
ai,33,BDNctVKwuD,6.0,4.338977301913689,1.33,3.0089773019136885,Reject,0,0.04145848994182996,4.090226362262709
ai,34,d2pUyiXwcm,5.5,4.310127752965401,4.5,0.18987224703459926,Accept,1,0.041266044943662754,4.0831645057752555
ai,35,A4Us8jxVGq,6.0,4.323849875192405,7.2,2.8761501248075954,Accept,1,0.04108922243996658,4.077314540552606
ai,36,GE0b5aQAvm,2.5,4.1916656983224065,2.67,1.5216656983224066,Reject,0,0.040901248387598906,4.089412577353409
ai,37,TADsPhlp32,5.0,4.294517021786326,2.5,1.7945170217863264,Reject,0,0.04122597195846702,4.0883871619939915
ai,38,gubSyVxWdG,5.5,4.306323909547242,6.0,1.6936760904527581,Accept,1,0.041237183623628826,4.079519399617284
ai,39,s7oURFZTQD,4.5,4.272619414720625,3.0,1.2726194147206247,Reject,0,0.04118325889992717,4.087294749670953
ai,40,fD9YRHazW3,5.5,4.307591857353295,5.5,1.1924081426467046,Accept,1,0.04124680406364013,4.080734435003275
